taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval
Aligena,0.01,Het,8.92,Aligena,extant,23.03,15.97,0.0117,0,Neogene,Holocene
Aliomactra,69.05,nonHet,36.94,Aliomactra,extinct,100.5,93.9,100.5,93.9,Cenomanian,
Allodesma,455.7,nonHet,13.395,Allodesma,extinct,460.9,452,445.2,443.4,Darriwilian,Late Ordovician
Allomactra,0.01,Het,46.18,Allomactra,extinct,,,,,,
Allonychia,449.1,nonHet,68.31,Allonychia,extinct,460.9,455.8,452,443.7,Darriwilian,Late Ordovician
Allopagus,39.65,nonHet,3.105,Allopagus,extinct,,,,,,
Alula,262.5,nonHet,29.45,Alula,extinct,272.5,268.8,254.17,252.17,Kungurian,Lopingian
Alveinus,12.72,nonHet,2.3,Alveinus,extinct,56,47.8,3.6,2.588,Eocene,Neogene
Ambonychia,449.1,nonHet,39.91,Ambonychia,extinct,470,458.4,410.8,407.6,Middle Ordovician,Pragian
Ambonychiopsis,428.95,nonHet,28.225,Ambonychiopsis,extinct,468.1,460.9,452,443.4,Middle Ordovician,Late Ordovician
Ameghinomya,12.72,nonHet,93,Ameghinomya,extant,28.4,15.97,0.0117,0,Oligocene,Holocene
Americardia,0.01,Het,60,Americardia,extant,47.8,41.3,0.0117,0,Lutetian,Holocene
Amesodesma,0.01,nonHet,30,Amesodesma,extant,0.126,0.0117,0.126,0.0117,Late Pleistocene,
Amiantis,0.01,Het,122.4,Amiantis,extant,56,37.2,0.0117,0,Eocene,Holocene
Amonotis,231.5,nonHet,23.62,Amonotis,extinct,237,228,215.56,212,Carnian,Norian
Amotapus,39.65,Het,99.62,Amotapus,extinct,55.8,48.6,37.2,33.9,Eocene,Priabonian
Amphiaraus,119,Het,31.06666667,Amphiaraus,extinct,125.45,122.46,125.45,122.46,Barremian,Aptian
Amphichaena,0.01,nonHet,48,Amphichaena,extant,,,,,,
Amphidonte,69.05,nonHet,64.42857143,Amphidonte,extinct,161.2,155.7,70.6,66,Late Jurassic,Cretaceous
Amphijanira,231.5,nonHet,7.713333333,Amphijanira,extinct,247.2,242,237,228,Middle Triassic,Carnian
Amusium,0.01,nonHet,140,Amusium,extant,358.9,336,0.126,0.0117,Carboniferous,Pleistocene
Amussiopecten,0.01,nonHet,94.12,Amussiopecten,extant,33.9,28.4,1.806,0.781,Oligocene,Calabrian
Amygdalum,0.01,nonHet,75,Amygdalum,extant,145,130,0.126,0.0117,Cretaceous,Pleistocene
Anadara,4.47,nonHet,152.1,Anadara,extant,139.8,132.9,0.0117,0,Valanginian,Cenozoic
Anapteris,35.95,Het,11.50333333,Anapteris,extinct,56,47.8,47.8,41.3,Ypresian,Lutetian
Anatimya,69.05,nonHet,56.48571429,Anatimya,extinct,100.5,93.9,70.6,66,Late Cretaceous,
Anatina,0.01,nonHet,81.2,Anatina,extant,237,232,0.126,0.0117,Late Triassic,Pleistocene
Anguipecten,0.01,nonHet,80,Anguipecten,extant,,,,,,
Angulus,0.01,Het,43.59,Angulus,extant,66,56,0.0117,0,Cenozoic,
Angusticardo,35.95,nonHet,4.006666667,Angusticardo,extinct,,,,,,
Anisocardia,119,Het,30.41428571,Anisocardia,extinct,237,228,37.2,33.9,Late Triassic,Eocene
Anisodonta,0.01,nonHet,7.881081081,Anisodonta,extant,56,47.8,0.126,0.0117,Eocene,Pleistocene
Annachlamys,0.01,nonHet,102.3,Annachlamys,extant,23.03,15.97,0.126,0.0117,Neogene,Pleistocene
Anningella,195.05,nonHet,30.86153846,Anningella,extinct,201.3,190.8,189.6,174.1,Early Jurassic,
Annuliconcha,262.5,nonHet,18.92,Annuliconcha,extinct,358.9,326.4,254.17,252.17,Carboniferous,Permian
Anodonta,0.01,nonHet,198.16,Anodonta,extant,364.7,360.7,0.126,0.0117,Famennian,Pleistocene
Anodontia,0.01,Het,33.76153846,Anodontia,extant,61.6,59.2,0.0117,0,Selandian,Holocene
Anodontites,0.01,nonHet,64.58,Anodontites,extant,70.6,66,11.608,5.333,Maastrichtian,Miocene
Anodontopleura,119,nonHet,91.8,Anodontopleura,extinct,,,,,,
Anodontopsis,424.3,nonHet,28.13,Anodontopsis,extinct,443.4,433.4,427.4,423,Llandovery,Ludlow
Anomalocardia,0.01,Het,50,Anomalocardia,extant,28.4,23.03,0.0117,0,Oligocene,Holocene
Anomalodonta,449.1,nonHet,61.26,Anomalodonta,extinct,452,445.6,449.5,443.7,Katian,Hirnantian
Anomalokellia,57.6,nonHet,5.7484375,Anomalokellia,extinct,,,,,,
Anomia,0.01,nonHet,93,Anomia,extant,268.8,265.1,0.0117,0,Wordian,Cenozoic
Anopaea,106.75,nonHet,130.42,Anopaea,extinct,163.5,145,113,100.5,Late Jurassic,Early Cretaceous
Anthonya,69.05,nonHet,44.54,Anthonya,extinct,129.4,125,72.1,66,Barremian,Late Cretaceous
Antigona,0.01,nonHet,125,Antigona,extant,37.2,33.9,0.126,0,Priabonian,Holocene
Antijanira,231.5,nonHet,18.67,Antijanira,extinct,237,232,235,228,Carnian,
Antipecten,0.01,nonHet,42.11428571,Antipecten,extinct,,,,,,
Antipleura,428.95,nonHet,43.1,Antipleura,extinct,423,410.8,407.6,391.9,Pridoli,Eifelian
Antiquicyprina,167.2,Het,33.22857143,Antiquicyprina,extinct,175.6,166.1,166.1,152.1,Toarcian,Kimmeridgian
Antiquilima,119,nonHet,65.6,Antiquilima,extinct,242,235,125,113,Ladinian,Aptian
Anulostrea,84.95,nonHet,37.41,Anulostrea,extinct,,,,,,
Aphanaia,270.55,nonHet,139.2,Aphanaia,extinct,295.5,290.1,259.9,254.17,Sakmarian,Wuchiapingian
Aphrodina,35.95,Het,52.5,Aphrodina,extinct,140.2,136.4,66,61.6,Cretaceous,Danian
Apolymetis,0.01,nonHet,51.18,Apolymetis,extant,33.9,23.03,0.126,0,Oligocene,Holocene
Apulites,69.05,nonHet,18.41333333,Apulites,extinct,89.3,66,83.5,66,Coniacian,Maastrichtian
Araeopleura,96.9,nonHet,43,Araeopleura,extinct,99.6,93.5,99.6,93.5,Cenomanian,Turonian
Arcavicula,231.5,nonHet,9.27,Arcavicula,extinct,251.3,247.2,212,201.3,Triassic,Late Triassic
Arcidopsis,0.01,nonHet,70.89333333,Arcidopsis,extant,,,,,,
Arcinella,0.01,nonHet,81.4,Arcinella,extant,125,100.5,0.0117,0,Aptian,Cenozoic
Arcomya,69.05,nonHet,73.27,Arcomya,extinct,251.3,247.2,99.6,93.5,Triassic,Turonian
Arcomytilus,35.95,nonHet,57.36,Arcomytilus,extinct,201.3,196.5,33.9,28.4,Jurassic,Rupelian
Arcopagella,69.05,nonHet,20.38,Arcopagella,extinct,113,100.5,113,100.5,Albian,
Arcopagia,0.01,Het,45.46,Arcopagia,extant,130,125.45,0.0117,0,Hauterivian,Cenozoic
Arcopaginula,0.01,Het,37.98,Arcopaginula,extant,11.608,5.333,0.0117,0,Tortonian,Holocene
Arcopagiopsis,35.95,nonHet,12.71,Arcopagiopsis,extinct,,,,,,
Arcopsis,0.01,nonHet,19.5,Arcopsis,extant,72.1,66,0.0117,0,Maastrichtian,Cenozoic
Arctica,0.01,nonHet,140,Arctica,extant,247.2,237,0.126,0.0117,Middle Triassic,Pleistocene
Arctostrea,69.05,nonHet,89.03,Arctostrea,extinct,168.3,166.1,70.6,66,Bathonian,Cretaceous
Arctotis,131.15,nonHet,101.36,Arctotis,extinct,189.6,183,139.8,132.9,Pliensbachian,Valanginian
Arcuatula,0.01,nonHet,76,Arcuatula,extant,66,61.6,0.0117,0,Cenozoic,
Arginopsis,35.95,nonHet,34.41,Arginopsis,extinct,41.3,38,37.2,33.9,Bartonian,Priabonian
Argopecten,0.01,nonHet,159.3,Argopecten,extant,122.46,109,0.0117,0,Aptian,Cenozoic
Argyromya,39.65,nonHet,45.83,Argyromya,extinct,,,,,,
Arisaigia,428.95,nonHet,27.91,Arisaigia,extinct,449.5,443.7,419.2,410.8,Katian,Lochkovian
Arnaudia,77.85,nonHet,80.55714286,Arnaudia,extinct,,,,,,
Arthritica,0.01,nonHet,4.963888889,Arthritica,extant,,,,,,
Arvella,0.01,nonHet,43,Arvella,extant,,,,,,
Asaphinella,35.95,Het,6.184,Asaphinella,extinct,,,,,,
Asaphis,0.01,Het,109,Asaphis,extant,15.97,11.62,0.0117,0,Langhian,Holocene
Ascitellina,0.01,nonHet,9.373333333,Ascitellina,extant,,,,,,
Asiatotrigonia,96.9,nonHet,88.8,Asiatotrigonia,extinct,,,,,,
Asoella,218.25,nonHet,4.68,Asoella,extinct,252.17,251.3,190.8,182.7,Triassic,Pliensbachian
Aspatharia,0.01,nonHet,60.0625,Aspatharia,extant,5.333,2.588,0.0117,0,Pliocene,Holocene
Aspidopholas,35.95,nonHet,27.70666667,Aspidopholas,extinct,48.6,33.9,15.97,11.62,Eocene,Serravallian
Astarte,0.01,nonHet,55,Astarte,extant,419.2,410.8,0.0117,0,Devonian,Cenozoic
Astartella,257.05,nonHet,18.2,Astartella,extinct,358.9,330.9,251.3,247.2,Carboniferous,Early Triassic
Astartemya,69.05,Het,36.28571429,Astartemya,extinct,125,112.03,70.6,66,Aptian,Late Cretaceous
Athlopecten,0.01,nonHet,190.8,Athlopecten,extinct,33.9,28.4,28.1,23.03,Oligocene,
Atomodesma,251.7,nonHet,51.06,Atomodesma,extinct,298.9,295.5,252.17,247.2,Permian,Early Triassic
Atreta,69.05,nonHet,13.265,Atreta,extinct,247.2,237,5.333,3.6,Middle Triassic,Zanclean
Aucellina,96.9,nonHet,26.63,Aucellina,extinct,152.1,145,93.9,89.8,Tithonian,Turonian
Aulacomya,0.01,nonHet,160,Aulacomya,extinct,259.9,252.17,180.1,175.6,Lopingian,Early Jurassic
Aulacomyella,154.7,nonHet,36.82,Aulacomyella,extinct,161.2,152.1,150.8,145,Late Jurassic,Tithonian
Aupouria,0.01,nonHet,2.2,Aupouria,extant,19,15.9,19,15.9,Burdigalian,Langhian
Austronucula,0.01,nonHet,2.18,Austronucula,extant,59.2,56,59.2,56,Thanetian,
Austrotrigonia,69.05,nonHet,96.31428571,Austrotrigonia,extinct,72.1,66,70.6,66,Maastrichtian,
Austrovenus,0.01,Het,90.1,Austrovenus,extant,11.608,5.333,0.781,0.126,Tortonian,Middle Pleistocene
Avicularca,204.9,nonHet,7.388,Avicularca,extinct,242,235,235,228,Ladinian,Carnian
Avicularium,25.57,nonHet,70.5,Avicularium,extinct,37.2,33.9,37.2,33.9,Priabonian,
Aviculolima,244.6,nonHet,23.45,Aviculolima,extinct,247.2,242,247.2,242,Anisian,
Aviculopecten,257.05,nonHet,16.625,Aviculopecten,extinct,443.4,419.2,113,100.5,Silurian,Early Cretaceous
Aviculoperna,35.95,nonHet,18.255,Aviculoperna,extant,254.17,252.17,0.126,0.0117,Changhsingian,Pleistocene
Aviculovulsa,35.95,nonHet,7.576666667,Aviculovulsa,extinct,,,,,,
Avimactra,0.01,Het,29.7,Avimactra,extinct,,,,,,
Azorinus,0.01,Het,104,Azorinus,extant,23.03,20.44,0.0117,0,Neogene,Holocene
Babinka,468.65,nonHet,19.05925926,Babinka,extinct,485.4,477.7,466,460.9,Early Ordovician,Middle Ordovician
Badiotella,231.5,nonHet,8.05,Badiotella,extinct,242,235,170.3,168.3,Ladinian,Bajocian
Bakevellia,69.05,nonHet,23.01,Bakevellia,extinct,330.9,323.2,72.1,66,Serpukhovian,Mesozoic
Balantioselena,238.5,nonHet,10.15454546,Balantioselena,extinct,242,237,242,228,Ladinian,Carnian
Barbatia,0.01,nonHet,90,Barbatia,extant,242,235,0.0117,0,Ladinian,Cenozoic
Barbierella,0.01,nonHet,9.278125,Barbierella,extant,66,61.6,15.97,11.608,Paleogene,Tortonian
Barbosaia,262.5,nonHet,23.565,Barbosaia,extinct,265.1,254.17,265.1,254.17,Capitanian,Wuchiapingian
Barnea,0.01,Het,120,Barnea,extant,89.8,86.3,0.0117,0,Coniacian,Cenozoic
Barrettia,69.05,nonHet,202.6,Barrettia,extinct,89.8,86.3,72.1,66,Coniacian,Maastrichtian
Bartlettia,0.01,nonHet,101.22,Bartlettia,extant,,,,,,
Bartrumia,6.29,nonHet,29.58,Bartrumia,extinct,19,15.9,15.97,5.333,Burdigalian,Messinian
Baryconites,96.9,nonHet,129.6285714,Baryconites,extinct,,,,,,
Barytellina,1.3,nonHet,30.47,Barytellina,extinct,5.333,3.6,5.333,3.6,Zanclean,
Bassina,0.01,Het,75,Bassina,extant,23.03,15.97,3.6,2.588,Neogene,
Bassinaria,0.01,Het,58.04285714,Bassinaria,extant,23.03,15.97,0.781,0.126,Neogene,Middle Pleistocene
Basterotia,0.01,Het,55,Basterotia,extant,254.17,252.17,0.126,0.0117,Changhsingian,Pleistocene
Bathyarca,0.01,nonHet,35,Bathyarca,extant,72.1,66,0.0117,0,Maastrichtian,Cenozoic
Bathytormus,0.01,nonHet,49.77142857,Bathytormus,extant,83.6,72.1,37.2,33.9,Campanian,Eocene
Batissa,0.01,Het,66.94,Batissa,extant,139.8,132.9,3.6,2.588,Valanginian,Neogene
Batolites,84.95,nonHet,27.4,Batolites,extinct,83.6,72.1,83.6,72.1,Campanian,
Beguina,0.01,nonHet,97,Beguina,extant,38,33.9,13.65,12.7,Priabonian,Serravallian
Bellucina,0.01,Het,8.857142857,Bellucina,extant,20.44,15.97,0.0117,0,Burdigalian,Holocene
Bentharca,0.01,nonHet,15,Bentharca,extant,23.03,15.97,3.6,2.588,Neogene,
Benthocardiella,0.01,nonHet,2.6,Benthocardiella,extant,,,,,,
Bicorbula,0.01,Het,40.76,Bicorbula,extant,72.1,66,5.333,2.588,Maastrichtian,Neogene
Bicornucopina,136.35,nonHet,36.24,Bicornucopina,extinct,,,,,,
Bicrenula,377.45,nonHet,10.755,Bicrenula,extinct,382.7,372.2,382.7,372.2,Frasnian,
Biradiolites,69.05,nonHet,50.57333333,Biradiolites,extinct,100.5,93.9,70.6,66,Late Cretaceous,
Birostrina,77.85,nonHet,36.82,Birostrina,extinct,125,113,93.5,86.3,Aptian,Coniacian
Bittnerella,218.25,art,11.62666667,Bittnerella,extant,247.2,242,221.5,201.3,Middle Triassic,Late Triassic
Blagraveia,35.95,nonHet,25.01,Blagraveia,extinct,56,48.6,38,33.9,Eocene,
Boeuvia,31,nonHet,18.93,Boeuvia,extinct,56,47.8,33.9,23.03,Eocene,Oligocene
Bontaea,0.01,nonHet,29.61,Bontaea,extant,,,,,,
Boriesia,57.6,nonHet,12.41,Boriesia,extinct,,,,,,
Bornia,0.01,Het,6.289705882,Bornia,extant,66,61.7,0.126,0.0117,Paleogene,Pleistocene
Botula,0.01,nonHet,40,Botula,extant,235,232,0.0117,0,Late Triassic,Cenozoic
Botulopsis,231.5,nonHet,28.29,Botulopsis,extinct,247.2,242,242,237,Middle Triassic,
Bouleigmus,69.05,nonHet,78.42857143,Bouleigmus,extinct,,,,,,
Bournonia,69.05,nonHet,115.975,Bournonia,extinct,99.6,93.5,70.6,66,Late Cretaceous,Maastrichtian
Brachyanodon,0.01,nonHet,52.01,Brachyanodon,extant,,,,,,
Brachymeris,69.05,nonHet,12.80333333,Brachymeris,extinct,83.6,72.1,83.6,72.1,Campanian,
Bractechlamys,0.01,nonHet,74.2,Bractechlamys,extant,,,,,,
Brazzaea,0.01,nonHet,65.52857143,Brazzaea,extant,,,,,,
Brevinucula,0.01,nonHet,5.2,Brevinucula,extant,33.9,28.1,33.9,28.1,Rupelian,
Bruetia,18.21,nonHet,10.95,Bruetia,extinct,61.6,59.2,41.3,38,Selandian,Bartonian
Bucardium,0.01,Het,65,Bucardium,extant,85.8,83.5,20.44,15.97,Santonian,Burdigalian
Buchia,69.05,nonHet,38.63,Buchia,extinct,182.7,168.3,72.1,66,Toarcian,Cretaceous
Buchiola,365.55,nonHet,4.911666667,Buchiola,extinct,427.4,423,364.7,358.9,Ludlow,Devonian
Buchotrigonia,77.85,nonHet,53.08,Buchotrigonia,extinct,150.8,132.9,112.03,100.5,Tithonian,Early Cretaceous
Burckhardtia,231.5,nonHet,21.96153846,Burckhardtia,extinct,237,228,237,228,Carnian,
Burmesia,204.9,nonHet,44.81,Burmesia,extinct,251.2,242,170.3,168.3,Olenekian,Bajocian
Butovicella,424.3,nonHet,10.022,Butovicella,extinct,430.5,427.4,422.9,419.2,Homerian,Pridoli
Byssocardium,18.21,nonHet,49.47142857,Byssocardium,extinct,,,,,,
Byssodesma,449.1,nonHet,18.685,Byssodesma,extinct,457.5,455.8,453,445.2,Sandbian,Katian
Byssopteria,377.45,nonHet,52.24,Byssopteria,extinct,410.8,407.6,387.7,382.7,Pragian,Middle Devonian
Cabralista,6.29,nonHet,32.01,Cabralista,extinct,,,,,,
Cadomia,462.85,nonHet,44.36,Cadomia,extinct,466,460.9,460.9,457.5,Darriwilian,Sandbian
Caestocorbula,35.95,Het,31.33,Caestocorbula,extant,157.3,152.1,33.9,23.03,Kimmeridgian,Paleogene
Callanaitis,0.01,nonHet,78,Callanaitis,extant,23.03,15.97,0.781,0.126,Neogene,Middle Pleistocene
Callista,0.01,Het,106.1,Callista,extant,125.45,112.03,0.126,0.0117,Barremian,Pleistocene
Calloarca,0.01,nonHet,46.8,Calloarca,extant,38,33.9,0.126,0.0117,Priabonian,Pleistocene
Callocardia,0.01,Het,28.3,Callocardia,extant,66,61.6,0.0117,0,Cenozoic,
Callodonta,449.1,nonHet,14.39,Callodonta,extinct,453,445.2,453,445.2,Katian,
Callolima,69.05,nonHet,254,Callolima,extant,,,,,,
Callonaia,0.01,nonHet,52.56,Callonaia,extant,11.608,5.333,11.608,5.333,Tortonian,Messinian
Callucina,0.01,Het,18.04285714,Callucina,extant,125.45,122.46,0.126,0.0117,Barremian,Pleistocene
Calorhadia,0.01,nonHet,45.12,Calorhadia,extinct,66,61.7,11.608,5.333,Paleogene,Miocene
Cameleolopha,69.05,nonHet,59.93,Cameleolopha,extinct,70.6,66,70.6,66,Maastrichtian,
Camptonectes,69.05,nonHet,38.14,Camptonectes,extinct,265.1,259.9,11.62,7.246,Capitanian,Tortonian
Caneyella,327.05,nonHet,16.925,Caneyella,extinct,409.1,402.5,290.1,272.3,Pragian,Cisuralian
Capistrocardia,12.72,Het,10.83,Capistrocardia,extinct,,,,,,
Caprina,69.05,nonHet,396.4545455,Caprina,extinct,140.2,132.9,86.3,83.6,Early Cretaceous,Santonian
Caprinula,69.05,nonHet,204.32,Caprinula,extinct,113,100.5,72.1,66,Albian,Late Cretaceous
Caprinuloidea,96.9,nonHet,56.63,Caprinuloidea,extinct,122.46,112.03,100.5,93.9,Aptian,Cenomanian
Cardilia,0.01,nonHet,24,Cardilia,extant,20.44,13.82,11.608,5.333,Burdigalian,Messinian
Cardilona,31,nonHet,36.4875,Cardilona,extinct,36,34.3,36,34.3,Priabonian,
Cardinioides,186.75,nonHet,50.6,Cardinioides,extinct,265.1,259.9,189.6,182.7,Capitanian,Pliensbachian
Cardiocardita,0.01,Het,55,Cardiocardita,extant,48.6,37.2,0.781,0.126,Eocene,Middle Pleistocene
Cardiola,352.8,nonHet,41.14,Cardiola,extinct,443.4,433.4,38,33.9,Silurian,Eocene
Cardiolaria,424.3,nonHet,15.785,Cardiolaria,extinct,466,460.9,457.5,449.5,Darriwilian,Katian
Cardiomorpha,231.5,nonHet,66.04,Cardiomorpha,extinct,407.6,393.3,232,221.5,Emsian,Norian
Cardiomya,18.21,nonHet,40,Cardiomya,extant,83.5,70.6,0.0117,0,Campanian,Cenozoic
Cardita,0.01,Het,90.6,Cardita,extant,251.3,247.2,0.0117,0,Mesozoic,Cenozoic
Carditamera,0.01,Het,101.2,Carditamera,extant,208.5,201.3,0.0117,0,Rhaetian,Cenozoic
Carditella,0.01,Het,10,Carditella,extant,61.6,59.2,0.0117,0,Selandian,Holocene
Carditellopsis,0.01,Het,4,Carditellopsis,extant,,,,,,
Cardites,0.01,nonHet,80.1,Cardites,extant,48.6,37.2,0.126,0,Eocene,Holocene
Carditomantea,415,nonHet,19.57,Carditomantea,extinct,,,,,,
Carditopsis,0.01,nonHet,10,Carditopsis,extant,23.03,20.44,23.03,20.44,Aquitanian,
Cardium,0.01,Het,140.6,Cardium,extant,237,232,0.0117,0,Late Triassic,Cenozoic
Caribachlamys,0.01,nonHet,66.5,Caribachlamys,extant,23.03,20.44,0.126,0.0117,Neogene,Pleistocene
Carolia,35.95,nonHet,73.26,Carolia,extinct,61.6,59.2,20.44,15.97,Selandian,Burdigalian
Carydium,377.45,nonHet,12.555,Carydium,extinct,443.4,419.2,358.9,323.2,Silurian,Mississippian
Caryocorbula,0.01,nonHet,30.8,Caryocorbula,extant,125.45,122.46,0.0117,0,Barremian,Cenozoic
Cassianella,204.9,nonHet,37.05,Cassianella,extinct,247.2,242,83.5,70.6,Middle Triassic,Cretaceous
Castalia,0.01,nonHet,41.52,Castalia,extant,11.608,5.333,11.608,5.333,Tortonian,Messinian
Casterella,262.5,nonHet,24.62666667,Casterella,extinct,298.9,295.5,265.1,254.17,Cisuralian,Wuchiapingian
Cataceramus,69.05,nonHet,133.46,Cataceramus,extinct,89.8,86.3,70.6,66,Coniacian,Maastrichtian
Catella,57.6,nonHet,36.63,Catella,extinct,247.2,242,72.1,66,Middle Triassic,Cretaceous
Cavilinga,0.01,Het,5.350769231,Cavilinga,extant,66,61.6,0.126,0.0117,Paleogene,Pleistocene
Cavilucina,39.65,nonHet,12.83333333,Cavilucina,extinct,196.5,189.6,2.588,0.781,Sinemurian,Calabrian
Cerastoderma,0.01,nonHet,56.6,Cerastoderma,extant,66,61.6,0.126,0.0117,Paleogene,Pleistocene
Ceratomya,148.55,nonHet,84.07142857,Ceratomya,extinct,201.3,199.3,132.9,129.4,Jurassic,Hauterivian
Ceratomyopsis,148.55,nonHet,50.02,Ceratomyopsis,extinct,182.7,174.1,150.8,145,Toarcian,Late Jurassic
Cercomya,69.05,nonHet,96.55714286,Cercomya,extinct,235,232,70.6,66,Late Triassic,Cretaceous
Ceroniola,69.05,nonHet,37.67,Ceroniola,extinct,72.1,66,72.1,66,Maastrichtian,
Cerullia,4.47,nonHet,3.415714286,Cerullia,extinct,,,,,,
Cetomya,0.01,nonHet,22.95,Cetomya,,,,,,,
Chaceia,0.01,Het,125,Chaceia,extant,15.97,13.82,0.126,0.0117,Langhian,Pleistocene
Chaenocardia,311.1,nonHet,16.425,Chaenocardia,extinct,353.8,345.3,295.5,290.1,Carboniferous,Sakmarian
Chaenomya,262.5,nonHet,73.36,Chaenomya,extinct,318.1,306.95,212,201.3,Pennsylvanian,Triassic
Chalmasia,39.65,nonHet,47.07,Chalmasia,extinct,72.1,66,72.1,66,Maastrichtian,
Chama,0.01,Het,146.7,Chama,extant,130,125.45,0.0117,0,Hauterivian,Cenozoic
Chamelea,0.01,nonHet,48.4,Chamelea,extant,33.9,28.4,0.126,0.0117,Oligocene,Pleistocene
Chaperia,96.9,nonHet,8.52,Chaperia,extinct,36,34.3,33.9,23.03,Priabonian,Oligocene
Chione,0.01,Het,76.4,Chione,extant,59.2,56,0.0117,0,Thanetian,Holocene
Chioneryx,0.01,Het,21,Chioneryx,extant,11.608,5.333,0.126,0.0117,Tortonian,Pleistocene
Chionista,0.01,nonHet,88.5,Chionista,extant,11.62,7.246,0.126,0.0117,Tortonian,Pleistocene
Chionopsis,0.01,Het,116.7,Chionopsis,extant,33.9,28.4,0.0117,0,Oligocene,Holocene
Chlamydella,0.01,nonHet,3.628461539,Chlamydella,extant,,,,,,
